,frame,color,hex
65,582,"(15, 15, 14)",#0f0f0e
0,583,"(15, 14, 13)",#0f0e0d
196,584,"(15, 14, 13)",#0f0e0d
133,585,"(15, 14, 13)",#0f0e0d
198,586,"(15, 14, 13)",#0f0e0d
264,587,"(15, 14, 13)",#0f0e0d
852,588,"(14, 14, 13)",#0e0e0d
799,589,"(14, 14, 12)",#0e0e0c
197,590,"(14, 14, 12)",#0e0e0c
132,591,"(14, 14, 12)",#0e0e0c
199,592,"(14, 13, 12)",#0e0d0c
263,593,"(13, 13, 12)",#0d0d0c
66,594,"(13, 13, 12)",#0d0d0c
131,595,"(13, 13, 12)",#0d0d0c
64,596,"(13, 13, 12)",#0d0d0c
1,597,"(12, 13, 11)",#0c0d0b
853,598,"(12, 13, 11)",#0c0d0b
906,599,"(12, 12, 11)",#0c0c0b
814,600,"(12, 12, 11)",#0c0c0b
838,601,"(12, 12, 11)",#0c0c0b
781,602,"(12, 12, 11)",#0c0c0b
761,603,"(12, 12, 11)",#0c0c0b
888,604,"(12, 12, 11)",#0c0c0b
870,605,"(12, 12, 11)",#0c0c0b
927,606,"(12, 12, 11)",#0c0c0b
941,607,"(12, 12, 11)",#0c0c0b
106,608,"(12, 12, 11)",#0c0c0b
91,609,"(12, 12, 11)",#0c0c0b
886,610,"(12, 12, 11)",#0c0c0b
874,611,"(12, 12, 11)",#0c0c0b
924,612,"(12, 12, 11)",#0c0c0b
942,613,"(12, 12, 11)",#0c0c0b
815,614,"(12, 12, 11)",#0c0c0b
835,615,"(12, 12, 11)",#0c0c0b
784,616,"(12, 12, 11)",#0c0c0b
760,617,"(12, 12, 11)",#0c0c0b
151,618,"(12, 12, 11)",#0c0c0b
178,619,"(12, 12, 11)",#0c0c0b
113,620,"(12, 12, 11)",#0c0c0b
85,621,"(12, 12, 11)",#0c0c0b
21,622,"(12, 12, 11)",#0c0c0b
43,623,"(12, 12, 11)",#0c0c0b
153,624,"(12, 12, 11)",#0c0c0b
175,625,"(12, 12, 11)",#0c0c0b
240,626,"(12, 12, 11)",#0c0c0b
224,627,"(12, 12, 11)",#0c0c0b
820,628,"(12, 12, 11)",#0c0c0b
831,629,"(12, 12, 11)",#0c0c0b
157,630,"(12, 12, 11)",#0c0c0b
173,631,"(12, 12, 11)",#0c0c0b
241,632,"(12, 12, 11)",#0c0c0b
221,633,"(12, 12, 11)",#0c0c0b
110,634,"(12, 12, 11)",#0c0c0b
86,635,"(12, 12, 11)",#0c0c0b
20,636,"(12, 12, 11)",#0c0c0b
46,637,"(12, 12, 11)",#0c0c0b
891,638,"(12, 12, 11)",#0c0c0b
868,639,"(12, 12, 11)",#0c0c0b
308,640,"(12, 12, 11)",#0c0c0b
286,641,"(12, 12, 11)",#0c0c0b
346,642,"(12, 12, 11)",#0c0c0b
372,643,"(12, 12, 11)",#0c0c0b
476,644,"(12, 12, 11)",#0c0c0b
492,645,"(12, 12, 11)",#0c0c0b
432,646,"(12, 12, 11)",#0c0c0b
412,647,"(12, 12, 10)",#0c0c0a
535,648,"(12, 12, 10)",#0c0c0a
554,649,"(12, 12, 10)",#0c0c0a
475,650,"(12, 12, 10)",#0c0c0a
495,651,"(12, 12, 10)",#0c0c0a
429,652,"(11, 11, 10)",#0b0b0a
413,653,"(11, 11, 10)",#0b0b0a
311,654,"(11, 11, 10)",#0b0b0a
281,655,"(11, 11, 10)",#0b0b0a
349,656,"(11, 11, 10)",#0b0b0a
371,657,"(11, 11, 10)",#0b0b0a
728,658,"(11, 11, 10)",#0b0b0a
705,659,"(11, 11, 10)",#0b0b0a
533,660,"(11, 11, 10)",#0b0b0a
557,661,"(11, 11, 10)",#0b0b0a
614,662,"(11, 11, 10)",#0b0b0a
588,663,"(11, 11, 10)",#0b0b0a
724,664,"(11, 11, 10)",#0b0b0a
708,665,"(11, 11, 10)",#0b0b0a
652,666,"(11, 11, 10)",#0b0b0a
668,667,"(11, 11, 10)",#0b0b0a
305,668,"(11, 11, 10)",#0b0b0a
288,669,"(11, 11, 10)",#0b0b0a
727,670,"(11, 11, 10)",#0b0b0a
707,671,"(11, 11, 10)",#0b0b0a
653,672,"(11, 11, 10)",#0b0b0a
665,673,"(11, 11, 10)",#0b0b0a
529,674,"(11, 11, 10)",#0b0b0a
559,675,"(11, 11, 10)",#0b0b0a
613,676,"(11, 11, 10)",#0b0b0a
