,frame,color,hex
850,468,"(82, 70, 71)",#524647
853,469,"(82, 70, 70)",#524646
1580,470,"(82, 70, 70)",#524646
1585,471,"(82, 70, 70)",#524646
1733,472,"(82, 70, 70)",#524646
1720,473,"(82, 70, 70)",#524646
1442,474,"(82, 70, 70)",#524646
1427,475,"(82, 70, 70)",#524646
1281,476,"(81, 70, 70)",#514646
1302,477,"(81, 69, 70)",#514546
1008,478,"(81, 70, 70)",#514646
985,479,"(53, 50, 48)",#353230
689,480,"(53, 50, 48)",#353230
718,481,"(53, 50, 48)",#353230
869,482,"(53, 50, 48)",#353230
834,483,"(53, 50, 48)",#353230
1156,484,"(53, 50, 48)",#353230
1131,485,"(53, 50, 48)",#353230
982,486,"(53, 50, 48)",#353230
1011,487,"(53, 50, 48)",#353230
1304,488,"(53, 50, 48)",#353230
1277,489,"(53, 50, 48)",#353230
1158,490,"(53, 50, 48)",#353230
1129,491,"(53, 50, 48)",#353230
983,492,"(53, 50, 48)",#353230
1010,493,"(53, 50, 48)",#353230
688,494,"(53, 50, 48)",#353230
719,495,"(54, 50, 48)",#363230
868,496,"(53, 50, 48)",#353230
835,497,"(53, 50, 48)",#353230
1712,498,"(53, 50, 48)",#353230
1743,499,"(78, 84, 57)",#4e5439
1494,500,"(81, 86, 61)",#51563d
1375,501,"(79, 84, 58)",#4f543a
1227,502,"(79, 84, 58)",#4f543a
1356,503,"(80, 85, 59)",#50553b
1526,504,"(78, 83, 56)",#4e5338
1639,505,"(79, 85, 56)",#4f5538
1787,506,"(79, 85, 56)",#4f5538
1666,507,"(79, 85, 56)",#4f5538
796,508,"(78, 84, 55)",#4e5437
907,509,"(79, 85, 56)",#4f5538
1518,510,"(80, 86, 56)",#505638
1643,511,"(79, 85, 55)",#4f5537
1786,512,"(79, 85, 55)",#4f5537
1671,513,"(79, 85, 54)",#4f5536
1501,514,"(80, 86, 55)",#505637
1372,515,"(79, 85, 54)",#4f5536
1228,516,"(80, 85, 55)",#505537
1351,517,"(80, 85, 54)",#505536
1059,518,"(82, 88, 57)",#525839
934,519,"(81, 86, 55)",#515637
790,520,"(81, 86, 55)",#515637
911,521,"(81, 86, 55)",#515637
771,522,"(67, 75, 43)",#434b2b
638,523,"(49, 44, 41)",#312c29
1052,524,"(52, 47, 44)",#342f2c
943,525,"(48, 44, 41)",#302c29
1082,526,"(48, 44, 41)",#302c29
1203,527,"(48, 44, 41)",#302c29
1493,528,"(48, 44, 41)",#302c29
1378,529,"(48, 44, 41)",#302c29
1054,530,"(54, 49, 46)",#36312e
937,531,"(48, 44, 41)",#302c29
1089,532,"(49, 44, 41)",#312c29
1200,533,"(49, 45, 42)",#312d2a
788,534,"(51, 46, 43)",#332e2b
917,535,"(50, 45, 42)",#322d2a
764,536,"(49, 45, 42)",#312d2a
641,537,"(49, 44, 41)",#312c29
1517,538,"(48, 43, 41)",#302b29
1646,539,"(53, 48, 45)",#35302d
6,540,"(43, 41, 40)",#2b2928
145,541,"(47, 43, 40)",#2f2b28
303,542,"(52, 47, 44)",#342f2c
166,543,"(52, 47, 44)",#342f2c
617,544,"(48, 44, 41)",#302c29
486,545,"(51, 46, 44)",#332e2c
328,546,"(47, 43, 41)",#2f2b29
457,547,"(47, 43, 41)",#2f2b29
1932,548,"(46, 43, 40)",#2e2b28
1817,549,"(46, 42, 40)",#2e2a28
611,550,"(44, 41, 39)",#2c2927
488,551,"(59, 49, 50)",#3b3132
325,552,"(59, 49, 50)",#3b3132
464,553,"(61, 50, 51)",#3d3233
12,554,"(61, 50, 51)",#3d3233
143,555,"(58, 48, 49)",#3a3031
306,556,"(60, 49, 50)",#3c3132
159,557,"(58, 48, 49)",#3a3031
2249,558,"(58, 48, 49)",#3a3031
2388,559,"(58, 48, 49)",#3a3031
1942,560,"(60, 50, 50)",#3c3232
1805,561,"(58, 48, 49)",#3a3031
1961,562,"(58, 48, 49)",#3a3031
2086,563,"(58, 48, 49)",#3a3031
2256,564,"(61, 50, 51)",#3d3233
2383,565,"(55, 45, 46)",#372d2e
2228,566,"(61, 50, 51)",#3d3233
2111,567,"(61, 50, 51)",#3d3233
16,568,"(61, 50, 51)",#3d3233
137,569,"(61, 50, 51)",#3d3233
2259,570,"(191, 181, 174)",#bfb5ae
2376,571,"(191, 181, 173)",#bfb5ad
2233,572,"(191, 181, 173)",#bfb5ad
2110,573,"(191, 181, 173)",#bfb5ad
1939,574,"(191, 181, 173)",#bfb5ad
1812,575,"(191, 181, 173)",#bfb5ad
1956,576,"(191, 181, 173)",#bfb5ad
2087,577,"(188, 178, 170)",#bcb2aa
621,578,"(185, 175, 168)",#b9afa8
480,579,"(182, 173, 166)",#b6ada6
156,580,"(179, 170, 163)",#b3aaa3
311,581,"(176, 167, 161)",#b0a7a1
153,582,"(173, 165, 158)",#ada59e
0,583,"(169, 161, 155)",#a9a19b
470,584,"(166, 158, 153)",#a69e99
317,585,"(163, 155, 151)",#a39b97
477,586,"(158, 151, 146)",#9e9792
624,587,"(152, 144, 140)",#98908c
2093,588,"(149, 141, 137)",#958d89
1952,589,"(147, 140, 137)",#938c89
471,590,"(146, 139, 137)",#928b89
316,591,"(145, 138, 136)",#918a88
478,592,"(130, 122, 118)",#827a76
623,593,"(127, 119, 116)",#7f7774
154,594,"(123, 115, 112)",#7b7370
313,595,"(118, 110, 107)",#766e6b
152,596,"(115, 107, 105)",#736b69
1,597,"(108, 100, 98)",#6c6462
2098,598,"(108, 100, 98)",#6c6462
2243,599,"(101, 93, 91)",#655d5b
